General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
13.4;2603;Payment Term Version 1;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
13.5;2603;Payment Term Version 1;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.6;2603;Payment Term Version 1;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.7;2603;Payment Term Version 1;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
13.8;2603;Payment Term Version 1;Create;;General;Medium;open;Gerd;;;Exxon/Intel;;;;;;;;;;;;;
14.1;2603;Currency Code;Change;;3-Step;High;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
14.2;2603;Currency Code;Create;;3-Step;High;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
14.3;2603;Currency Code ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
14.4;2603;Currency Code ;Data Export / Import;;General;Very High;open;Patrick;;;Intel;;;;;;;;;;;;;
14.5;2603;Currency Code  ;Language Test;DE/EN;General;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
14.6;2603;Currency Code  ;Language Test;FR/ES;General;Medium;open;Ulla;;;Intel;;;;;;;;;;;;;
14.7;2603;Currency Code ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
15.1;2603;Sales Organization;Change;;2-Step;Very High;development;Sabine;;see Open Topics;"Exxon/Intel;  Address";done  ;done  ;error;error;error;error;retest;retest;retest;retest;retest;retest;
15.2;2603;Sales Organization;Create;;2-Step;Very High;development;Sabine;;see Open Topics;"Exxon/Intel;  Address";done  ;done  ;error;error;error;error;retest;retest;retest;retest;retest;retest;
15.3;2603;Sales Organization ;File Download / Upload;;General;Very High;development;Patrick;;;"Exxon/Intel;  Address";;;;;;;;;;;;;
15.4;2603;Sales Organization ;Data Export / Import;;General;Very High;development;Patrick;;;"Exxon/Intel;  Address";;;;;;;;;;;;;
15.5;2603;Sales Organization  ;Language Test;DE/EN;General;High;development;Ulla;;;"Exxon/Intel;  Address";;;;;;;;;;;;;
15.6;2603;Sales Organization  ;Language Test;FR;General;High;development;Ulla;;;"Exxon/Intel;  Address";;;;;;;;;;;;;
15.7;2603;Sales Organisation ;Language Test;ES;General;High;development;Ulla;;;"Exxon/Intel;  Address";;;;;;;;;;;;;
16.1;2603;Material Type;Change;;2-Step;High;error;Ulla;;see Open Topics;Exxon/Intel;;;;done  ;error;error;retest;retest;retest;retest;retest;retest;
16.2;2603;Material Type;Create;;2-Step;High;error;Ulla;;see Open Topics;Exxon/Intel;;;;done  ;error;error;retest;retest;retest;retest;retest;retest;
16.3;2603;Material Type ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
16.4;2603;Material Type ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
16.5;2603;Material Type  ;Language Test;DE/EN;General;Low;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
16.6;2603;Material Type  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
16.7;2603;Material Type ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
17.1;2603;Storage Location;Change;;2-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
17.2;2603;Storage Location;Create;;2-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
17.3;2603;Storage Location ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
17.4;2603;Storage Location ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
17.5;2603;Storage Location  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
17.6;2603;Storage Location  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
17.7;2603;Storage Location ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
18.1;2603;Division;Change;;1-Step;High;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
18.2;2603;Division;Create;;1-Step;High;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
18.3;2603;Division ;File Download / Upload;;1-Step;High;open;Patrick;;;Intel;;;;;;;;;;;;;
18.4;2603;Division;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
18.5;2603;Division  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
18.6;2603;Division  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
18.7;2603;Division ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
19.1;2603;Factory Calendar;Change;;2-Step;High;in progress;Maxi;;;Intel;done  ;done  ;done  ;;;;;;;;;;
19.2;2603;Factory Calendar;Create;;2-Step;High;in progress;Maxi;;;Intel knows about false-positive issue. Error known. To be documented;done  ;slight error;open;;;;;;;;;;
19.3;2603;Factory Calendar ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
19.4;2603;Factory Calendar ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
19.5;2603;Factory Calendar  ;Language Test;DE/EN;General;High;open;Ulla;;;Intel;;;;;;;;;;;;;
19.6;2603;Factory Calendar  ;Language Test;FR/ES;General;High;open;Ulla;;;Intel;;;;;;;;;;;;;
19.7;2603;Factory Calendar ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
20.1;2603;Distribution Channel;Change;;2-Step;Medium;open;Sabine;;;Exxon/Intel;;;;;;;;;;;;;
20.2;2603;Distribution Channel;Create;;2-Step;Medium;open;Sabine;;;Exxon/Intel;;;;;;;;;;;;;
20.3;2603;Distribution Channel ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
20.4 ;2603;Distribution Channel ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
20.5;2603;Distribution Channel  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
20.6;2603;Distribution Channel  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
20.7;2603;Distribution Channel ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
21.1;2603;Controlling Area;Change;;n.A.;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
21.2;2603;Controlling Area;Create;;n.A.;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
21.3;2603;Controlling Area ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
21.4;2603;Controlling Area ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
21.5;2603;Controlling Area  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
21.6;2603;Controlling Area  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
21.7;2603;Controlling Area ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
22.1;2603;Material Status;Change;;1-Step;High;error;Maxi;;see Open Topics;Exxon/Intel;error;open;open;error;open;open;open;error;open;open;open;open;
22.2;2603;Material Status;Create;;1-Step;High;error;Maxi;;see Open Topics;Exxon/Intel;;;;;;;;;;;;;
22.3;2603;Material Status ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
22.4;2603;Material Status ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
22.5;2603;Material Status  ;Language Test;DE/EN;General;Low;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
22.6;2603;Material Status  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
